descripcion,ubicacion,animal
Es un felino grande con manchas negras y excelente nadador.,América del Sur,jaguar
Ave enorme que no vuela y corre a gran velocidad.,África,avestruz
Mamífero marino con aletas y piel gruesa.,Océano Ártico,foca
Roedor pequeño de orejas grandes y cola larga.,América del Norte,ratón
Gran herbívoro con uno o dos cuernos y piel gruesa.,África,rinoceronte
Reptil de gran tamaño con mordida poderosa y vive en ríos.,África,cocodrilo
Pájaro pequeño que imita sonidos y canta.,Sudamérica,ruiseñor
Mamífero de gran tamaño con trompa larga.,Asia,elefante
Felino pequeño domesticado con bigotes largos.,Global,gato
Animal equino usado para transporte y trabajo.,Global,caballo
Carnívoro marino con dientes afilados.,Océanos,tiburón
Ave colorida que puede hablar palabras humanas.,Selvas tropicales,loro
Mamífero peludo que hiberna durante el invierno.,América del Norte,oso
Reptil que cambia de color para camuflarse.,África,camaleón
Ave nocturna con ojos grandes y cabeza giratoria.,Bosques,búho
Mamífero que vive colgado de los árboles boca abajo.,Selva tropical,perezoso
Insecto con alas coloreadas y vuelo suave.,Global,mariposa
Mamífero marsupial que salta y tiene bolsa ventral.,Australia,canguro
Anfibio pequeño que croa y vive cerca del agua.,Global,rana
Felino muy veloz y de cuerpo esbelto.,África,guepardo
Felino grande veloz y solitario con rayas negras y narajas con garras afiladas,África,tigre
